actionDate,partnerId,transactionType,totalAmount,counts
2024-01-11,partner_1,purchase,62.19,1
2024-01-11,partner_14,purchase,56.64,1
2024-01-11,partner_17,refund,862.36,1
2024-01-11,partner_2,purchase,23.35,1
2024-01-11,partner_2,subscription,139.69,1
2024-01-11,partner_21,purchase,109.26,1
2024-01-11,partner_23,purchase,25.01,1
2024-01-11,partner_38,subscription,36.29,1
2024-01-11,partner_47,purchase,25.7,1
2024-01-11,partner_48,purchase,28.1,1
2024-01-11,partner_49,refund,806.08,1
2024-01-11,partner_49,subscription,35.71,1
2024-01-11,partner_9,refund,87.09,1
2024-01-12,partner_1,purchase,62.19,1
2024-01-12,partner_10,subscription,46.85,1
2024-01-12,partner_11,refund,83.18,1
2024-01-12,partner_14,subscription,46.32,1
2024-01-12,partner_17,subscription,176.25,1
2024-01-12,partner_2,refund,181.1,1
2024-01-12,partner_20,purchase,52.78,1
2024-01-12,partner_23,refund,143.95,1
2024-01-12,partner_31,refund,146.61,1
2024-01-12,partner_34,refund,156.89,1
2024-01-12,partner_35,subscription,96.68,1
2024-01-12,partner_42,subscription,639.2,1
2024-01-12,partner_43,subscription,165.11,1
2024-01-12,partner_44,refund,179.78,1
2024-01-12,partner_44,subscription,161.13,1
2024-01-12,partner_46,purchase,157.13,1
2024-01-12,partner_47,refund,48.09,1
2024-01-12,partner_49,subscription,18.68,1
2024-01-13,partner_11,purchase,182.01,1
2024-01-13,partner_18,subscription,43.43,1
2024-01-13,partner_22,refund,39.88,1
2024-01-13,partner_25,purchase,80.45,1
2024-01-13,partner_28,purchase,131.56,1
2024-01-13,partner_3,refund,182.89,1
2024-01-13,partner_31,subscription,95.73,1
2024-01-13,partner_33,subscription,58.24,1
2024-01-13,partner_39,purchase,178.55,1
2024-01-13,partner_5,subscription,13.41,1
2024-01-14,partner_1,purchase,49.3,1
2024-01-14,partner_10,purchase,731.38,1
2024-01-14,partner_20,refund,196.74,1
2024-01-14,partner_21,purchase,243.41000000000003,2
2024-01-14,partner_22,purchase,103.66,1
2024-01-14,partner_22,refund,32.97,1
2024-01-14,partner_24,refund,888.96,1
2024-01-14,partner_26,subscription,598.53,1
2024-01-14,partner_29,subscription,140.74,1
2024-01-14,partner_37,purchase,102.25,1
2024-01-14,partner_37,refund,47.21,1
2024-01-14,partner_43,subscription,105.32,1
2024-01-14,partner_44,purchase,170.45,1
2024-01-14,partner_44,subscription,155.81,1
2024-01-14,partner_6,subscription,358.4,2
2024-01-15,partner_12,refund,100.09,1
2024-01-15,partner_28,refund,879.48,1
2024-01-15,partner_31,subscription,11.36,1
2024-01-15,partner_44,refund,109.88,1
2024-01-15,partner_49,subscription,18.68,1
2024-01-15,partner_5,subscription,13.41,1
2024-01-16,partner_17,purchase,18.4,1
2024-01-16,partner_17,subscription,176.25,1
2024-01-16,partner_18,purchase,879.47,1
2024-01-16,partner_21,subscription,167.17,1
2024-01-16,partner_23,purchase,179.0,1
2024-01-16,partner_24,purchase,20.38,1
2024-01-16,partner_34,refund,57.41,1
2024-01-16,partner_4,refund,191.75,1
2024-01-16,partner_42,refund,26.18,1
2024-01-16,partner_49,refund,184.79,1
2024-01-16,partner_6,purchase,20.59,1
2024-01-16,partner_8,purchase,83.69,1
2024-01-16,partner_9,refund,90.41,1
2024-01-17,partner_13,refund,147.93,1
2024-01-17,partner_13,subscription,85.86,1
2024-01-17,partner_15,refund,137.95,1
2024-01-17,partner_17,purchase,18.4,1
2024-01-17,partner_27,subscription,177.32,1
2024-01-17,partner_40,purchase,194.94,1
2024-01-17,partner_45,subscription,94.43,1
2024-01-17,partner_46,subscription,111.36,1
2024-01-18,partner_10,subscription,23.67,1
2024-01-18,partner_12,refund,38.36,1
2024-01-18,partner_13,purchase,56.84,1
2024-01-18,partner_17,purchase,44.54,1
2024-01-18,partner_18,refund,120.05,1
2024-01-18,partner_23,purchase,92.99,1
2024-01-18,partner_26,purchase,14.78,1
2024-01-18,partner_34,subscription,40.73,1
2024-01-18,partner_48,purchase,130.74,1
2024-01-18,partner_48,refund,195.33,1
2024-01-19,partner_1,purchase,160.52,1
2024-01-19,partner_1,subscription,146.63,1
2024-01-19,partner_13,purchase,56.84,1
2024-01-19,partner_15,subscription,74.14,1
2024-01-19,partner_21,refund,709.95,1
2024-01-19,partner_23,purchase,25.01,1
2024-01-19,partner_24,purchase,67.68,2
2024-01-19,partner_36,refund,40.21,1
2024-01-19,partner_4,purchase,96.24,1
2024-01-19,partner_41,refund,92.6,1
2024-01-19,partner_46,subscription,111.36,1
2024-01-19,partner_7,subscription,833.03,1
2024-01-19,partner_8,purchase,629.85,1
2024-01-19,partner_8,subscription,149.28,1
2024-01-20,partner_15,purchase,147.85,1
2024-01-20,partner_17,subscription,890.36,1
2024-01-20,partner_19,subscription,39.53,1
2024-01-20,partner_20,subscription,816.27,1
2024-01-20,partner_21,refund,32.2,1
2024-01-20,partner_22,refund,39.92,1
2024-01-20,partner_22,subscription,169.59,1
2024-01-20,partner_3,refund,14.23,1
2024-01-20,partner_32,refund,197.53,1
2024-01-20,partner_39,subscription,47.28,1
2024-01-20,partner_45,purchase,94.49,1
2024-01-20,partner_48,subscription,683.85,1
2024-01-20,partner_8,subscription,12.86,1
2024-01-21,partner_10,subscription,27.73,1
2024-01-21,partner_11,refund,49.77,1
2024-01-21,partner_17,purchase,44.54,1
2024-01-21,partner_18,refund,644.48,1
2024-01-21,partner_27,subscription,17.7,1
2024-01-21,partner_28,refund,197.65,1
2024-01-21,partner_34,subscription,175.37,1
2024-01-21,partner_38,subscription,28.86,1
2024-01-21,partner_6,refund,47.65,1
2024-01-21,partner_6,subscription,66.58,1
2024-01-22,partner_13,subscription,121.25999999999999,2
2024-01-22,partner_18,purchase,28.66,1
2024-01-22,partner_19,purchase,677.4,1
2024-01-22,partner_23,purchase,180.51,1
2024-01-22,partner_31,subscription,53.36,1
2024-01-22,partner_33,purchase,66.72,1
2024-01-22,partner_39,subscription,54.73,1
2024-01-22,partner_45,purchase,154.48,1
2024-01-22,partner_47,refund,121.2,1
2024-01-22,partner_49,subscription,18.68,1
2024-01-22,partner_7,purchase,109.44,1
2024-01-22,partner_8,refund,142.42,1
2024-01-23,partner_11,subscription,10.17,1
2024-01-23,partner_14,subscription,53.07,1
2024-01-23,partner_2,purchase,32.93,1
2024-01-23,partner_28,purchase,29.59,1
2024-01-23,partner_31,subscription,571.46,1
2024-01-23,partner_34,purchase,17.78,1
2024-01-23,partner_43,subscription,165.11,1
2024-01-23,partner_45,subscription,94.43,1
2024-01-23,partner_46,purchase,157.13,1
2024-01-23,partner_47,purchase,921.64,1
2024-01-23,partner_47,refund,120.75,1
2024-01-23,partner_48,refund,228.4,2
2024-01-23,partner_49,refund,190.3,1
2024-01-23,partner_9,refund,86.33,1
2024-01-24,partner_16,refund,48.55,1
2024-01-24,partner_21,refund,36.12,1
2024-01-24,partner_24,subscription,58.62,1
2024-01-24,partner_25,purchase,133.53,1
2024-01-24,partner_25,subscription,990.51,1
2024-01-24,partner_27,refund,45.33,1
2024-01-24,partner_3,purchase,105.27,1
2024-01-24,partner_35,purchase,51.85,1
2024-01-24,partner_37,subscription,44.21,1
2024-01-24,partner_44,subscription,113.96,1
2024-01-24,partner_46,purchase,134.97,1
2024-01-24,partner_46,subscription,111.36,1
2024-01-24,partner_48,purchase,51.72,1
2024-01-24,partner_49,subscription,77.53,1
2024-01-24,partner_50,purchase,43.12,1
2024-01-25,partner_10,purchase,731.38,1
2024-01-25,partner_14,refund,136.57,1
2024-01-25,partner_15,purchase,79.46,1
2024-01-25,partner_19,purchase,127.67,1
2024-01-25,partner_2,purchase,169.89,1
2024-01-25,partner_20,purchase,84.37,2
2024-01-25,partner_21,subscription,88.13,1
2024-01-25,partner_23,purchase,180.51,1
2024-01-25,partner_24,refund,58.99,1
2024-01-25,partner_28,subscription,158.29,1
2024-01-25,partner_30,purchase,70.38,1
2024-01-25,partner_35,refund,46.0,1
2024-01-25,partner_38,refund,530.81,1
2024-01-25,partner_40,refund,24.08,1
2024-01-25,partner_40,subscription,77.2,1
2024-01-25,partner_42,refund,165.03,1
2024-01-25,partner_6,refund,68.72,1
2024-01-26,partner_10,refund,41.45,1
2024-01-26,partner_18,subscription,176.62,1
2024-01-26,partner_19,purchase,59.15,1
