userSerial,partnerId,transactionType,amount,time,segment,actionDate
user_186,partner_49,subscription,21.49,2024-08-12 12:43:48.976465,Budget-Conscious,2024-08-12
user_186,partner_49,subscription,21.49,2024-11-06 12:43:48.976465,Budget-Conscious,2024-11-06
user_186,partner_49,subscription,21.49,2024-05-01 12:43:48.976465,Budget-Conscious,2024-05-01
user_186,partner_49,subscription,21.49,2024-03-07 12:43:48.976465,Budget-Conscious,2024-03-07
user_186,partner_49,subscription,21.49,2024-01-27 12:43:48.976465,Budget-Conscious,2024-01-27
user_73,partner_25,subscription,990.51,2024-04-08 12:43:48.976465,High Spenders,2024-04-08
user_73,partner_25,subscription,990.51,2024-01-24 12:43:48.976465,High Spenders,2024-01-24
user_163,partner_32,purchase,172.82,2024-11-30 12:43:48.976465,Occasional Buyers,2024-11-30
user_163,partner_32,purchase,172.82,2024-12-16 12:43:48.976465,Occasional Buyers,2024-12-16
user_163,partner_32,purchase,172.82,2024-02-22 12:43:48.976465,Occasional Buyers,2024-02-22
user_163,partner_32,purchase,172.82,2024-05-11 12:43:48.976465,Occasional Buyers,2024-05-11
user_163,partner_32,purchase,172.82,2024-12-01 12:43:48.976465,Occasional Buyers,2024-12-01
user_158,partner_45,refund,836.1,2024-01-27 12:43:48.976465,High Spenders,2024-01-27
user_158,partner_45,refund,836.1,2024-06-17 12:43:48.976465,High Spenders,2024-06-17
user_287,partner_14,subscription,137.77,2024-06-08 12:43:48.976465,Occasional Buyers,2024-06-08
user_287,partner_14,subscription,137.77,2024-08-14 12:43:48.976465,Occasional Buyers,2024-08-14
user_287,partner_14,subscription,137.77,2024-05-09 12:43:48.976465,Occasional Buyers,2024-05-09
user_287,partner_14,subscription,137.77,2024-09-21 12:43:48.976465,Occasional Buyers,2024-09-21
user_287,partner_14,subscription,137.77,2024-10-28 12:43:48.976465,Occasional Buyers,2024-10-28
user_298,partner_34,purchase,17.78,2024-01-23 12:43:48.976465,Budget-Conscious,2024-01-23
user_298,partner_34,purchase,17.78,2024-05-05 12:43:48.976465,Budget-Conscious,2024-05-05
user_298,partner_34,purchase,17.78,2024-07-11 12:43:48.976465,Budget-Conscious,2024-07-11
user_298,partner_34,purchase,17.78,2024-10-06 12:43:48.976465,Budget-Conscious,2024-10-06
user_298,partner_34,purchase,17.78,2024-07-08 12:43:48.976465,Budget-Conscious,2024-07-08
user_298,partner_34,purchase,17.78,2024-02-17 12:43:48.976465,Budget-Conscious,2024-02-17
user_298,partner_34,purchase,17.78,2024-10-16 12:43:48.976465,Budget-Conscious,2024-10-16
user_117,partner_30,subscription,859.24,2024-04-28 12:43:48.976465,High Spenders,2024-04-28
user_60,partner_49,purchase,93.25,2024-11-07 12:43:48.976465,Occasional Buyers,2024-11-07
user_60,partner_49,purchase,93.25,2024-03-09 12:43:48.976465,Occasional Buyers,2024-03-09
user_60,partner_49,purchase,93.25,2024-11-13 12:43:48.976465,Occasional Buyers,2024-11-13
user_60,partner_49,purchase,93.25,2024-11-10 12:43:48.976465,Occasional Buyers,2024-11-10
